Latitude Longitude
39.7699437 -104.9635961
39.7704442 -104.9640605
39.7699417 -104.9640985
39.7692971 -104.9640943
39.770443 -104.9633523
39.7688223 -104.9626523
39.7687357 -104.9626523
39.7690153 -104.9625811
39.7689348 -104.9625839
39.7689199 -104.9625896
39.7688387 -104.9625905
39.769128 -104.9625666
39.7690551 -104.9625666
39.769228 -104.9625863
39.7692288 -104.962534
39.7692285 -104.9625206
39.7692172 -104.9625206
39.7691491 -104.9625863
39.7687162 -104.9625433
39.7686823 -104.9625428
39.7686818 -104.9625841
39.7686203 -104.9625855
39.7685628 -104.9626191
39.7685623 -104.9625762
39.7685659 -104.9625762
39.7684917 -104.9625755
39.7684961 -104.9625755
39.7684958 -104.9626204
39.7694379 -104.9657442
39.7693707 -104.9657451
39.7693694 -104.9655782
39.7693889 -104.965578
39.7693887 -104.9655597
39.7694239 -104.9655593
39.769424 -104.9655789
39.7694366 -104.9655787
39.7697453 -104.9657856
39.7696813 -104.965785
39.7696815 -104.9657527
39.769679 -104.9657527
39.7696797 -104.965632
39.7697495 -104.9656327
39.7697488 -104.9657591
39.7697455 -104.965759
39.7693755 -104.9633601
39.769375 -104.9624994
39.7697101 -104.962499
39.7697101 -104.9625546
39.7697728 -104.9625546
39.7697729 -104.9627815
39.7697126 -104.9627815
39.7697129 -104.9633598
39.7649773 -104.9657437
39.7649965 -104.9650906
39.7686489 -104.9657682
39.7702031 -104.9663328
39.7676469 -104.9662995
39.7652212 -104.9637889
39.7659689 -104.9630417
39.7652183 -104.9649399
39.7652924 -104.9655748
39.7663521 -104.9641847
39.7656143 -104.9663704
39.7687121 -104.9643153
39.7656329 -104.9630581
39.7687441 -104.96367
39.7687172 -104.966776
39.7676545 -104.9667971
39.7660153 -104.9657369
39.7659852 -104.962641
39.7662221 -104.9666386
39.7656177 -104.966205
39.7667682 -104.9638449
39.7697396 -104.9668004
39.7660772 -104.963635
39.7671124 -104.964921
39.7649866 -104.9652832
39.7671724 -104.9667082
39.7688836 -104.9627754
39.7695477 -104.9662834
39.7654326 -104.9665322
39.7694636 -104.966136
39.7661905 -104.965639
39.7662955 -104.9626282
39.7677314 -104.9629851
39.7650427 -104.9626206
39.7690446 -104.965771
39.7705225 -104.9643522
39.7697358 -104.9650543
39.7663227 -104.9656052
39.7689411 -104.9645052
39.7670582 -104.9630421
39.7687974 -104.964139
39.7696757 -104.9661365
39.765295 -104.9630165
39.7677028 -104.963113
39.7667505 -104.9632024
39.7649118 -104.9657227
39.7692839 -104.9642329
39.7655521 -104.9661582
39.7659111 -104.9626386
39.7687072 -104.9632283
39.7661697 -104.9628682
39.7676313 -104.9666919
39.7672471 -104.9652909
39.7674479 -104.9654531
39.7668607 -104.9645614
39.7691182 -104.96286
39.7690479 -104.9645771
39.7684302 -104.9630602
39.7670653 -104.9668297
39.7695304 -104.966148
39.7658734 -104.9657578
39.7653313 -104.965211
39.7704351 -104.964368
39.7683366 -104.9630304
39.7648952 -104.9668205
39.7661521 -104.9630683
39.7692054 -104.9655812
39.76643 -104.9637789
39.7676651 -104.9662395
39.7678923 -104.9667982
39.7673947 -104.9639696
39.7671743 -104.9668442
39.7666807 -104.9640408
39.7675987 -104.9645658
39.7672236 -104.9650786
39.7673867 -104.9644069
39.7684083 -104.9641477
39.7702801 -104.9650802
39.7666385 -104.9661215
39.7665601 -104.9627815
39.766381 -104.9645296
39.7684778 -104.9652567
39.7662037 -104.9629733
39.7676214 -104.9649473
39.7650075 -104.9630022
39.7658678 -104.9649238
39.7677306 -104.9649123
39.7679201 -104.9643116
39.7682513 -104.9626968
39.7688093 -104.9653583
39.7683787 -104.9645064
39.7685357 -104.9649392
39.7696647 -104.9661336
39.7653982 -104.9655678
39.7670556 -104.9643578
39.7671279 -104.9630043
39.7665568 -104.9632006
39.76894 -104.9639775
39.7677949 -104.9641386
39.7648469 -104.96682
39.7678531 -104.9644006
39.7652627 -104.9666355
39.7654127 -104.9666243
39.7650166 -104.9657246
39.7662626 -104.9665216
39.7665403 -104.9653988
39.7682707 -104.9636566
39.7668796 -104.964266
39.7697703 -104.9652316
39.7662554 -104.9662437
39.7677838 -104.96366
39.766857 -104.9637754
39.7665276 -104.9661024
39.7682382 -104.9651024
39.7678025 -104.9638248
39.7697441 -104.9667484
39.7692892 -104.964169
39.7694665 -104.9667821
39.764934 -104.9630374
39.7660108 -104.9626512
39.7685706 -104.9668061
39.7692534 -104.9650718
39.767149 -104.966157
39.7668779 -104.9662211
39.7683755 -104.9652088
39.7662256 -104.966142
39.7660138 -104.9626504
39.7658632 -104.9644311
39.7659775 -104.9654607
39.769262 -104.965763
39.7673435 -104.9664144
39.7696541 -104.9650788
39.7649309 -104.9626127
39.7688692 -104.966612
39.7659789 -104.9645483
39.7696434 -104.964484
39.7662533 -104.9645532
39.7651898 -104.9667998
39.7678587 -104.9645343
39.7650208 -104.9663012
39.768364 -104.9650687
39.7649391 -104.966821
39.7653105 -104.9649302
39.7653457 -104.966615
39.7685294 -104.9645103
39.7655986 -104.9638161
39.7671619 -104.9636405
39.7693248 -104.9663192
39.7649481 -104.9642286
39.7672465 -104.9643445
39.7677312 -104.9651532
39.7676641 -104.9632068
39.7661163 -104.9666645
39.7694837 -104.9645275
39.7663201 -104.9662513
39.7652277 -104.9640554
39.7677093 -104.9657374
39.7680673 -104.965733
39.7689149 -104.9627745
39.769756 -104.966731
39.7649802 -104.9649442
39.7655387 -104.9650828
39.7663208 -104.9638049
39.7690792 -104.9649052
39.7679534 -104.9654108
39.7705261 -104.9656072
39.7672363 -104.9666098
39.7673787 -104.9641436
39.766602 -104.9663139
39.7650918 -104.9666776
39.76926 -104.9661733
39.7678699 -104.9656189
39.7674144 -104.9657417
39.7687257 -104.9666129
39.7686198 -104.9636747
39.7665399 -104.9656378
39.7692244 -104.9632303
39.7684678 -104.9666266
39.7660046 -104.9626516
39.7654349 -104.9629741
39.7677786 -104.962706
39.7664617 -104.9640286
39.768425 -104.964297
39.7651596 -104.9627753
39.7666926 -104.9663753
39.7649864 -104.9652076
39.7694682 -104.9666019
39.767054 -104.9642247
39.7689225 -104.9666094
39.770493 -104.966502
39.7663116 -104.9657649
39.7649062 -104.9661632
39.7673808 -104.9644069
39.7660886 -104.9655912
39.7697337 -104.9641589
39.7702734 -104.9653671
39.7687723 -104.9643696
39.7652271 -104.9643622
39.7683703 -104.9637855
39.7677409 -104.9655612
39.7689793 -104.9655605
39.7653058 -104.9652825
39.7661984 -104.9666386
39.766124 -104.9663823
39.769613 -104.9662941
39.7668462 -104.9626143
39.766598 -104.9664448
39.7672162 -104.965195
39.7684318 -104.9639567
39.768586 -104.9640556
39.7662209 -104.9654432
39.7687204 -104.964053
39.7660594 -104.9625349
39.7703935 -104.964889
39.7652226 -104.9626942
39.7661234 -104.9629308
39.7663919 -104.9656057
39.7685176 -104.9643475
39.7689305 -104.9632156
39.7661126 -104.9661665
39.7660366 -104.9657374
39.766244 -104.9666455
39.7673396 -104.9632065
39.7691769 -104.9661299
39.7651986 -104.9632278
39.7661821 -104.9657583
39.7704785 -104.9663508
39.7677706 -104.9642342
39.7672333 -104.9632112
39.7702708 -104.9662459
39.7649499 -104.9644769
39.7653384 -104.9654526
39.7677876 -104.9644006
39.7702083 -104.9668165
39.767187 -104.9661375
39.7670448 -104.96649
39.7679501 -104.9625757
39.7675739 -104.9666922
39.7689894 -104.9662536
39.7675632 -104.9625543
39.7673238 -104.9656129
39.7667754 -104.9636326
39.7690892 -104.9638099
39.76714 -104.9654588
39.7702743 -104.964913
39.77028 -104.9643934
39.7702296 -104.966525
39.7665721 -104.962866
39.7655632 -104.9636479
39.7673444 -104.9639783
39.7683545 -104.965466
39.7679612 -104.9655793
39.7679427 -104.9636454
39.769289 -104.9642276
39.7684781 -104.9652131
39.7682885 -104.9640698
39.7655439 -104.9649206
39.7665633 -104.966814
39.7676791 -104.9663157
39.7705068 -104.9648955
39.767934 -104.9656073
39.7702881 -104.9661191
39.7672122 -104.9657615
39.7677891 -104.9657371
39.7691978 -104.9630502
39.7650148 -104.9644599
39.7673118 -104.9643472
39.7682418 -104.9653878
39.7682382 -104.965175
39.7671406 -104.9655139
39.7694246 -104.9645226
39.7689797 -104.9661204
39.7702312 -104.9662873
39.7679003 -104.9628609
39.7652348 -104.9665101
39.7691878 -104.9651724
39.7685073 -104.9661612
39.7688231 -104.9631105
39.7648833 -104.9661402
39.7683037 -104.9652564
39.766123 -104.9653826
