6034
Latitude Longitude
39.7487769 -104.9780237
39.7492359 -104.978024
39.7492361 -104.9774532
39.7492836 -104.9774532
39.7492837 -104.9772858
39.749318 -104.9772858
39.749318 -104.9771147
39.748724 -104.9778172
39.7486809 -104.9778172
39.7493121 -104.9783824
39.7493127 -104.9784334
39.7487682 -104.9785146
39.7487181 -104.9782978
39.7487175 -104.977324
39.748687 -104.9771143
39.7486869 -104.977324
39.7486269 -104.9784953
39.7486176 -104.9785074
39.7485682 -104.9784435
39.7493336 -104.9783819
39.7493326 -104.9783009
39.7493001 -104.9783016
39.7492999 -104.9782857
39.7487183 -104.9783174
39.7487477 -104.9783583
39.7487674 -104.9783581
39.748815 -104.9785142
39.7508534 -104.9782781
39.7508144 -104.9783282
39.7508565 -104.9784831
39.750758 -104.9783538
39.7507961 -104.9783047
39.7507784 -104.9784577
39.750758 -104.9784302
39.7507639 -104.9784228
39.7506983 -104.9783343
39.7506906 -104.9783439
39.7506798 -104.9783294
39.7506514 -104.978365
39.7506645 -104.9783827
39.7506533 -104.9783967
39.7507153 -104.9784803
39.7507246 -104.9784686
39.7507463 -104.9784979
39.7508601 -104.9782869
39.7505906 -104.9784957
39.7505994 -104.9785075
39.7506097 -104.9784944
39.7505893 -104.9784498
39.7506358 -104.9783902
39.7507326 -104.9785178
39.7508569 -104.978022
39.7508576 -104.9778759
39.75085 -104.9778759
39.7508502 -104.9778334
39.7508601 -104.9778335
39.7508603 -104.9777972
39.7508586 -104.9777073
39.7508592 -104.9776047
39.7508596 -104.977278
39.7508682 -104.9771201
39.7508657 -104.9773669
39.7508656 -104.9773735
39.7508479 -104.9773732
39.7508474 -104.9774192
39.7508663 -104.9774195
39.7508657 -104.9774789
39.7508464 -104.9774785
39.7508458 -104.9775353
39.750853 -104.9767296
39.7508527 -104.9765631
39.7508646 -104.9765526
39.7508646 -104.9763979
39.7508492 -104.976074
39.7508561 -104.976074
39.749262 -104.9774532
39.7487769 -104.9780414
39.7486808 -104.9780413
39.7487175 -104.9773737
39.7487016 -104.9773737
39.748724 -104.9777669
39.748707 -104.9777669
39.748707 -104.9777057
39.7487004 -104.9777057
39.7487004 -104.9775292
39.748686 -104.9775292
39.7487016 -104.9773918
39.7486861 -104.9773918
39.7506086 -104.9779766
39.7506086 -104.977958
39.7506274 -104.9779581
39.7506277 -104.9777909
39.7505683 -104.9777907
39.7505679 -104.9779764
39.7505649 -104.977977
39.7505654 -104.9777926
39.7504961 -104.9777922
39.7504956 -104.9779766
39.7504305 -104.9779761
39.7504885 -104.9779762
39.7504887 -104.9777985
39.7504307 -104.9777984
39.7504251 -104.9779762
39.7504253 -104.977832
39.7503621 -104.9778319
39.750362 -104.9779761
39.7499349 -104.9779963
39.7499355 -104.9777429
39.7498842 -104.9777427
39.7498836 -104.9779962
39.7503575 -104.9779779
39.7503576 -104.9778582
39.750297 -104.9778581
39.7502969 -104.9779778
39.7502889 -104.9779801
39.750219 -104.9779796
39.7502195 -104.9778502
39.7502893 -104.9778507
39.7500707 -104.977995
39.7500721 -104.9777399
39.7500196 -104.9777393
39.7500182 -104.9779945
39.7498695 -104.9779985
39.7498709 -104.9777444
39.749816 -104.9777438
39.7498146 -104.977998
39.7502126 -104.9779765
39.750214 -104.9777478
39.7501555 -104.9777472
39.7501541 -104.9779759
39.7501439 -104.9779759
39.7501451 -104.9777472
39.7500884 -104.9777468
39.7500872 -104.9779754
39.7502113 -104.9777054
39.750212 -104.9776112
39.7501537 -104.9776105
39.750153 -104.9777047
39.750003 -104.9779971
39.750004 -104.9777463
39.7499506 -104.977746
39.7499497 -104.9779968
39.7501418 -104.9777029
39.7501418 -104.9776087
39.7500884 -104.9776087
39.7500884 -104.9777029
39.7497732 -104.9780383
39.7497734 -104.9779096
39.7497076 -104.9779094
